trends_in_ratings,year,pct
Excellent,2004-03-01,0.06001620864675771
Excellent,2005-03-01,0.0646509506041678
Excellent,2006-03-01,0.06971133603386241
Excellent,2007-03-01,0.06688247645176239
Excellent,2008-03-01,0.07343454693870347
Excellent,2009-03-01,0.07427708582915167
Excellent,2010-03-01,0.08272962491884045
Excellent,2011-03-01,0.08691286931794479
Excellent,2012-03-01,0.10374777772216522
Excellent,2013-03-01,0.09642791005290018
Excellent,2014-03-01,0.10009605226472869
Excellent,2015-03-01,0.10246325910459962
Excellent,2016-03-01,0.1098255459290469
Excellent,2017-03-01,0.10762733903291083
Excellent,2018-03-01,0.11033115881193917
Excellent,2019-03-01,0.10418924633957713
Excellent,2020-03-01,0.09764098180777699
Excellent,2023-03-01,0.0788816497041992
Good,2004-03-01,0.4136007992491837
Good,2005-03-01,0.42074793058134496
Good,2006-03-01,0.4340328028878892
Good,2007-03-01,0.44458523435850494
Good,2008-03-01,0.4520825953613372
Good,2009-03-01,0.45846502594651783
Good,2010-03-01,0.48079447259817315
Good,2011-03-01,0.50072404976959
Good,2012-03-01,0.5207286160716369
Good,2013-03-01,0.5188589581599355
Good,2014-03-01,0.527781817197289
Good,2015-03-01,0.5175661828581246
Good,2016-03-01,0.5188899456588216
Good,2017-03-01,0.5146417468263758
Good,2018-03-01,0.5063879990110269
Good,2019-03-01,0.4709352636507483
Good,2020-03-01,0.4560183327707656
Good,2023-03-01,0.43280435895983876
Fair,2004-03-01,0.3442931535646293
Fair,2005-03-01,0.3504636105464407
Fair,2006-03-01,0.348406882464493
Fair,2007-03-01,0.3425220816811732
Fair,2008-03-01,0.34257167003210465
Fair,2009-03-01,0.35152616903421063
Fair,2010-03-01,0.33568762791842244
Fair,2011-03-01,0.3224604904755878
Fair,2012-03-01,0.29635616821909694
Fair,2013-03-01,0.30152294052607925
Fair,2014-03-01,0.29142317339911356
Fair,2015-03-01,0.29877933992695915
Fair,2016-03-01,0.2962548975558049
Fair,2017-03-01,0.2909346964959571
Fair,2018-03-01,0.2866774548588429
Fair,2019-03-01,0.30789785810422854
Fair,2020-03-01,0.3278122506483965
Fair,2023-03-01,0.3544087865501191
Poor,2004-03-01,0.13677735161698862
Poor,2005-03-01,0.12378902181319532
Poor,2006-03-01,0.11230189847556993
Poor,2007-03-01,0.11103906535812111
Poor,2008-03-01,0.09857376064563386
Poor,2009-03-01,0.0884988803796874
Poor,2010-03-01,0.07638549004135613
Poor,2011-03-01,0.06929822932518746
Poor,2012-03-01,0.060859693047197336
Poor,2013-03-01,0.061682785730216155
Poor,2014-03-01,0.061312353524857824
Poor,2015-03-01,0.06300983642563077
Poor,2016-03-01,0.05753549577894478
Poor,2017-03-01,0.06543783882065136
Poor,2018-03-01,0.07367649065620287
Poor,2019-03-01,0.08907032916893773
Poor,2020-03-01,0.08935949012714514
Poor,2023-03-01,0.10163209377085977
Very poor,2004-03-01,0.04531248692244179
Very poor,2005-03-01,0.04034848645484807
Very poor,2006-03-01,0.035547080138191904
Very poor,2007-03-01,0.03497114215045064
Very poor,2008-03-01,0.033337427022215566
Very poor,2009-03-01,0.027232838810430492
Very poor,2010-03-01,0.024402784523192892
Very poor,2011-03-01,0.020604361111685465
Very poor,2012-03-01,0.01830774493989046
Very poor,2013-03-01,0.021507405530866733
Very poor,2014-03-01,0.01938660361400844
Very poor,2015-03-01,0.01818138168468141
Very poor,2016-03-01,0.01749411507738807
Very poor,2017-03-01,0.021358378824090016
Very poor,2018-03-01,0.022926896661988258
Very poor,2019-03-01,0.027907302736517658
Very poor,2020-03-01,0.029168944645927463
Very poor,2023-03-01,0.032273111014975896
